date,ticker,open,high,low,close,volume
2020-01-06,AAPL,151.4808,156.6507,140.8105,144.0928,22741608
2020-01-06,AMZN,3268.1421,3336.6233,3032.764,3079.549,54186544
2020-01-06,BRK-B,279.9562,291.5911,279.311,285.1435,35907417
2020-01-06,GOOGL,2816.614,2897.1033,2779.8906,2874.8112,62619291
2020-01-06,HD,319.5994,327.0506,307.4503,321.8066,67908712
2020-01-06,JNJ,170.4239,171.3271,166.6691,167.0095,12967574
2020-01-06,JPM,160.2356,164.8642,159.119,163.6678,40145302
2020-01-06,MA,361.1337,362.2788,346.3255,348.4562,26146353
2020-01-06,META,329.8062,330.1086,327.2809,329.6742,21591690
2020-01-06,MSFT,251.5175,252.3789,241.1423,243.2591,89365933
2020-01-06,NVDA,220.6342,231.3889,214.0954,220.9694,44800525
2020-01-06,PG,145.1187,147.2782,140.9915,142.1716,102007507
2020-01-06,UNH,459.1428,481.9684,457.685,481.5406,8324945
2020-01-06,V,229.3858,229.8884,224.3909,225.001,95004433
2020-01-06,XOM,85.0787,85.5059,82.2251,83.3589,33501109
2020-01-13,AAPL,143.5348,144.4898,141.6292,142.4675,20626845
2020-01-13,AMZN,3092.4806,3118.0092,3084.9666,3106.1301,27336935
2020-01-13,BRK-B,285.7908,287.5205,280.8922,281.428,81199057
2020-01-13,GOOGL,2863.8208,3086.565,2856.2251,3002.6522,57147108
2020-01-13,HD,315.8134,338.2183,313.8358,325.1753,60414784
2020-01-13,JNJ,166.2506,168.4124,165.2162,167.4855,14218532
2020-01-13,JPM,163.1062,164.1264,158.5037,161.7048,31284782
2020-01-13,MA,353.223,362.7491,331.7611,335.6939,22145624
2020-01-13,META,325.9053,336.8249,319.1626,329.9627,26826666
2020-01-13,MSFT,243.4653,244.2581,239.1924,239.7861,71798414
2020-01-13,NVDA,224.1576,243.8174,218.9796,241.6756,55833055
2020-01-13,PG,141.6069,142.5543,141.1617,141.7425,63176141
2020-01-13,UNH,481.7899,482.867,473.3902,479.269,20591455
2020-01-13,V,225.345,228.7384,221.4026,224.4745,35677186
2020-01-13,XOM,82.1366,86.0671,78.2471,84.62,44738247
2020-01-20,AAPL,141.597,149.4961,139.9881,148.8457,23940621
2020-01-20,AMZN,3062.5169,3126.3908,2916.1858,3024.5383,31128740
2020-01-20,BRK-B,282.1594,284.3825,277.9387,278.5615,76103653
2020-01-20,GOOGL,2981.82,3140.1868,2950.4351,3126.4878,56558114
2020-01-20,HD,328.0488,334.0239,320.7687,322.8331,27565605
2020-01-20,JNJ,167.8459,168.425,165.4677,166.0926,18007635
2020-01-20,JPM,161.0302,163.5552,158.2855,159.2088,33558244
2020-01-20,MA,332.7147,338.6671,324.7063,338.3261,20687191
2020-01-20,META,320.926,374.9845,312.6956,370.7542,13500387
2020-01-20,MSFT,237.7875,245.4466,231.5156,236.6039,107802077
2020-01-20,NVDA,236.9288,241.1834,235.7766,239.0928,84751003
2020-01-20,PG,141.657,142.3864,138.6537,140.0522,107773998
2020-01-20,UNH,478.8621,489.1106,477.8222,486.4911,9603808
2020-01-20,V,225.987,231.1412,207.693,208.696,100446940
2020-01-20,XOM,85.0651,86.5613,81.6036,82.5213,33674267
2020-01-27,AAPL,147.865,151.6379,147.4965,148.706,23052559
2020-01-27,AMZN,2985.0249,3325.0743,2928.1826,3293.1112,47121043
2020-01-27,BRK-B,277.386,277.4008,267.4792,269.3557,52469459
2020-01-27,GOOGL,3164.8425,3248.6612,3127.6707,3230.3526,61270477
2020-01-27,HD,324.4656,327.2516,320.9578,327.0453,40878237
2020-01-27,JNJ,166.3086,166.4527,158.5995,158.7048,8401275
2020-01-27,JPM,160.1464,161.4159,155.1145,157.3441,16164824
2020-01-27,MA,335.0245,375.1528,328.4407,367.7551,20033734
2020-01-27,META,372.6211,384.1809,366.6861,376.244,32057281
2020-01-27,MSFT,236.0589,236.8943,232.9678,233.5162,54770989
2020-01-27,NVDA,240.3352,249.4563,238.7912,249.2907,113804654
2020-01-27,PG,139.9404,140.8056,139.5137,140.8001,86198333
2020-01-27,UNH,488.545,514.2129,488.0672,512.0581,17857206
2020-01-27,V,207.7209,218.4,206.8388,218.2615,62824645
2020-01-27,XOM,83.9503,85.7847,82.7455,83.276,33399891
2020-02-03,AAPL,149.1027,149.8515,146.0518,146.8215,22446279
2020-02-03,AMZN,3300.8802,3364.5544,3291.1663,3312.6192,50976209
2020-02-03,BRK-B,269.9158,270.6958,265.5602,266.42,72270545
2020-02-03,GOOGL,3228.9662,3346.097,3190.0018,3340.5282,98373892
2020-02-03,HD,326.4131,337.8819,325.4532,335.7947,81753317
2020-02-03,JNJ,157.8516,160.0567,152.6695,153.731,22851147
2020-02-03,JPM,157.9617,158.2719,153.3942,154.0549,33175252
2020-02-03,MA,368.6338,369.7261,366.3276,367.2859,19047325
2020-02-03,META,374.8542,388.7395,362.0291,384.1084,29698473
2020-02-03,MSFT,231.5586,240.0003,227.1147,238.4416,63435047
2020-02-03,NVDA,245.6627,257.0512,240.1139,256.5695,48961290
2020-02-03,PG,140.5475,140.5748,137.9121,138.9101,123314970
2020-02-03,UNH,512.9737,516.102,503.1,509.1931,10002646
2020-02-03,V,218.4512,226.6766,217.3973,225.4667,50703785
2020-02-03,XOM,84.0376,86.738,83.9356,84.3143,60861467
2020-02-10,AAPL,146.0865,147.0091,142.977,144.6513,11359113
2020-02-10,AMZN,3298.5679,3438.1399,3234.3717,3403.2137,21104020
2020-02-10,BRK-B,266.5693,268.5953,259.5462,262.8844,56188646
2020-02-10,GOOGL,3389.7582,3513.7796,3369.447,3434.2367,98125497
2020-02-10,HD,338.0981,344.0279,300.4249,300.4739,61154444
2020-02-10,JNJ,153.3933,154.9677,146.7977,149.044,12127095
2020-02-10,JPM,154.5719,158.4622,152.4756,153.4355,27663297
2020-02-10,MA,367.5224,424.7717,364.9988,418.9154,26319652
2020-02-10,META,382.9423,401.6798,378.1981,401.6417,26875411
2020-02-10,MSFT,239.0455,241.8838,235.6255,235.8916,112737094
2020-02-10,NVDA,259.9866,262.897,225.1665,234.8125,51929462
2020-02-10,PG,139.2121,139.5863,138.1174,138.1882,100809092
2020-02-10,UNH,512.7073,515.6965,498.2926,499.0909,18444322
2020-02-10,V,225.8093,227.8303,223.946,226.7168,65501474
2020-02-10,XOM,85.3897,85.968,80.7595,82.0228,42641801
2020-02-17,AAPL,145.1543,146.1154,139.3993,140.0771,24024088
2020-02-17,AMZN,3417.0966,3440.1729,3257.1018,3310.5497,55455939
2020-02-17,BRK-B,262.9917,277.4282,255.6725,272.465,45264642
2020-02-17,GOOGL,3426.4416,3461.4558,3340.8934,3348.5753,36285021
2020-02-17,HD,299.5276,302.1012,292.9439,296.4035,36628469
2020-02-17,JNJ,149.2983,150.8908,149.1318,150.6652,20990501
2020-02-17,JPM,153.3777,156.953,152.009,155.201,39047994
2020-02-17,MA,421.2524,423.9999,411.2283,411.5701,16127879
2020-02-17,META,411.0252,412.945,349.5987,363.9133,14829758
2020-02-17,MSFT,237.5041,253.1333,236.5513,251.2391,41235445
2020-02-17,NVDA,235.2363,290.7011,234.2038,289.3444,105385054
2020-02-17,PG,138.8015,140.9018,138.6666,140.8116,58685971
2020-02-17,UNH,503.2612,503.7858,498.2504,500.0707,10830592
2020-02-17,V,225.1081,235.9046,218.9307,235.4124,90269223
2020-02-17,XOM,81.865,82.4757,78.6958,79.0585,22964760
2020-02-24,AAPL,140.2809,142.8472,139.9331,141.4799,12621154
2020-02-24,AMZN,3304.5908,3535.7927,3216.0798,3485.9993,19917642
2020-02-24,BRK-B,273.8593,278.2195,268.3584,270.5346,30001076
2020-02-24,GOOGL,3273.1124,3570.4198,3269.4215,3518.2058,88667116
2020-02-24,HD,298.1764,298.3231,296.0354,296.5883,63797308
2020-02-24,JNJ,150.7295,151.4826,145.0993,145.7105,15448890
2020-02-24,JPM,154.6375,163.3142,153.7424,160.347,35204487
2020-02-24,MA,405.4609,435.4647,399.5016,431.0641,19526780
2020-02-24,META,363.2324,381.4878,361.5795,378.0522,24455433
2020-02-24,MSFT,253.5969,254.6562,238.597,243.9208,99726424
2020-02-24,NVDA,290.5903,292.949,279.2879,287.1198,55817648
2020-02-24,PG,140.4061,141.8484,137.0548,137.0959,91732258
2020-02-24,UNH,500.7263,512.6616,491.3677,493.173,12568932
2020-02-24,V,235.6011,250.8394,234.554,242.55,101892920
2020-02-24,XOM,79.247,79.8513,73.6971,73.9059,28615190
2020-03-02,AAPL,142.3651,145.7919,141.2428,141.9926,17291730
2020-03-02,AMZN,3507.6417,3579.5852,3465.149,3514.4118,22488946
2020-03-02,BRK-B,270.4903,271.3949,262.3393,262.797,74504622
2020-03-02,GOOGL,3598.7137,3655.1755,3316.8346,3327.5845,45523237
2020-03-02,HD,297.3108,299.9848,288.8908,290.8624,48496141
2020-03-02,JNJ,145.7609,146.3518,141.0745,142.3345,14927961
2020-03-02,JPM,158.889,167.85,158.6999,166.5693,33534021
2020-03-02,MA,434.1144,437.7094,413.5719,419.1726,15803780
2020-03-02,META,378.8188,391.3843,369.6195,389.8004,36340731
2020-03-02,MSFT,243.8175,247.416,233.2267,236.5335,112240523
2020-03-02,NVDA,283.8629,302.9774,282.0419,284.4719,48193677
2020-03-02,PG,137.9626,141.7384,137.3891,140.7308,63728289
2020-03-02,UNH,486.3403,490.1404,463.6024,463.6358,10876206
2020-03-02,V,242.257,246.6261,239.1675,246.2356,100199034
2020-03-02,XOM,74.8858,75.2332,69.6843,70.072,30827726
2020-03-09,AAPL,142.9764,143.9326,137.5755,138.6122,19208960
2020-03-09,AMZN,3400.6137,3437.7109,2965.4879,3020.3275,25422753
2020-03-09,BRK-B,263.7859,264.4041,256.7647,257.3644,46068388
2020-03-09,GOOGL,3334.5139,3372.4929,3206.7483,3276.289,93421602
2020-03-09,HD,290.5917,307.0197,288.0773,302.8384,47793586
2020-03-09,JNJ,141.9824,143.6576,141.9121,142.3333,12767486
2020-03-09,JPM,165.6531,171.116,162.7216,168.902,44878379
2020-03-09,MA,414.6024,423.7687,407.6892,412.7861,12032256
2020-03-09,META,392.1949,395.2498,352.7721,355.1205,30017340
2020-03-09,MSFT,238.116,239.0374,230.1256,232.4835,59054762
2020-03-09,NVDA,285.8695,288.2452,266.8745,269.607,66039317
2020-03-09,PG,141.255,142.81,140.5574,141.5774,58862363
2020-03-09,UNH,464.3405,472.3253,463.0096,470.41,17920932
2020-03-09,V,243.7952,249.3938,236.0285,237.0045,37184002
2020-03-09,XOM,70.6399,71.4789,67.5062,68.6541,35226360
2020-03-16,AAPL,139.3167,140.7486,135.3784,136.9484,9572017
2020-03-16,AMZN,3036.2476,3086.1578,2781.2872,2808.4117,39280083
2020-03-16,BRK-B,256.033,259.0068,252.4052,257.6738,67971415
2020-03-16,GOOGL,3277.8548,3379.6128,3093.2405,3121.8007,67656443
2020-03-16,HD,302.9864,306.459,297.5722,298.0343,59609657
2020-03-16,JNJ,142.3008,143.9616,139.5133,140.8969,12439812
2020-03-16,JPM,169.8449,170.2822,166.7257,167.1421,36448941
2020-03-16,MA,411.6106,429.8633,407.8687,426.3999,26896508
2020-03-16,META,352.7387,373.6433,336.3819,370.9879,18836156
2020-03-16,MSFT,234.8387,240.1656,234.1935,239.4526,102264344
2020-03-16,NVDA,266.9539,283.6028,258.5567,276.8772,84848061
2020-03-16,PG,141.5822,145.1877,140.942,144.4477,92017505
2020-03-16,UNH,475.2581,495.3439,464.3099,480.8097,10887446
2020-03-16,V,238.3206,243.4385,232.2477,233.5286,37745680
2020-03-16,XOM,66.5694,66.7244,65.527,65.7427,49095839
2020-03-23,AAPL,136.811,138.3365,133.2932,134.6268,10067641
2020-03-23,AMZN,2767.7037,2824.6416,2602.6119,2648.6849,27989994
2020-03-23,BRK-B,256.3987,262.0842,256.3965,260.2965,69894015
2020-03-23,GOOGL,3083.4631,3170.6245,2907.5099,3092.3106,63236058
