week_index,date,execution_week,end_date,batch_start_nav,batch_end_nav,n_actions_submitted,n_accepted,n_clipped,n_rejected,batch_cash,batch_total_nav,batch_realized_pnl,batch_weekly_turnover,batch_concentration_hhi,batch_portfolio_volatility,processing_order,action_index,action_source,is_internal,is_imputed,action_type,ticker,quantity,quantity_type,fraction,stop_price,effective_quantity,effective_quantity_type,effective_fraction,effective_stop_price,validation_outcome,validation_reason,clip_delta,vol_rule_active,rule_triggered,executed_shares,execution_price,gross_trade_value,total_cost,commission_cost,spread_cost,slippage_cost,week_executed,is_stop_loss,gap_adjusted,execution_status,stop_action_applied,stop_action_status
0,2020-01-06,1,2020-01-13,100000.0,99850.94750602836,3,2,1,0,74957.49663318037,99850.94750602836,0.0,0.25,0.022431379866048665,,0,0,user,False,False,buy,AAPL,0.1,nav_fraction,,,0.1,nav_fraction,,,accepted,,,False,,69.66951568539477,143.5348,10000.0,17.003063526364777,10.0,5.0,2.003063526364776,1.0,False,False,executed,,
0,2020-01-06,1,2020-01-13,100000.0,99850.94750602836,3,2,1,0,74957.49663318037,99850.94750602836,0.0,0.25,0.022431379866048665,,1,1,user,False,False,buy,AMZN,0.1,nav_fraction,,,0.1,nav_fraction,,,accepted,,,False,,3.233650034861981,3092.4806,10000.0,17.000059676255326,10.0,5.0,2.000059676255324,1.0,False,False,executed,,
0,2020-01-06,1,2020-01-13,100000.0,99850.94750602836,3,2,1,0,74957.49663318037,99850.94750602836,0.0,0.25,0.022431379866048665,,2,2,user,False,False,buy,BRK-B,0.1,nav_fraction,,,0.05,nav_fraction,,,clipped,Clipped to remaining weekly turnover budget,17.535030607395925,False,turnover_cap,17.49531475470869,285.7908,5000.0,8.500243617004736,5.0,2.5,1.0002436170047362,1.0,False,False,executed,,
1,2020-01-13,2,2020-01-20,99850.94750602836,99981.32396431413,1,1,0,0,74957.49663318037,99981.32396431413,0.0,0.25,0.022702729839606552,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
2,2020-01-20,3,2020-01-27,99981.32396431413,100679.00353185195,1,1,0,0,74957.49663318037,100679.00353185195,0.0,0.25,0.023967306048152448,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
3,2020-01-27,4,2020-02-03,100679.00353185195,100559.43237889752,1,1,0,0,74957.49663318037,100559.43237889752,0.0,0.25,0.023842658170081504,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
4,2020-02-03,5,2020-02-10,100559.43237889752,100639.33006919363,1,1,0,0,74957.49663318037,100639.33006919363,0.0,0.25,0.024073250735170165,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
5,2020-02-10,6,2020-02-17,100639.33006919363,100188.62043625402,1,1,0,0,74957.49663318037,100188.62043625402,0.0,0.25,0.023168865240144526,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
6,2020-02-17,7,2020-02-24,100188.62043625402,100819.92248241151,1,1,0,0,74957.49663318037,100819.92248241151,0.0,0.25,0.02426335108406389,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
7,2020-02-24,8,2020-03-02,100819.92248241151,100812.1463772729,1,1,0,0,74957.49663318037,100812.1463772729,0.0,0.25,0.024416861788353394,,0,0,user,False,False,hold,,,,,,,,,,accepted,,,False,,,,,,,,,,False,False,not_applicable,,
